compound,created_at,source,text,user_location,user_name
0.0,Thu May 23 06:59:37 +0000 2019,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @MANJULtoons: #LokSabhaElection2019 #loksabhaElections2019results #Amethi #EVMs
My #cartoon for @firstpost
More: https://t.co/d7EQajd4JI…",India,varunevo
0.0,Thu May 23 06:59:37 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @TheUnRealTimes: JUST IN: Pakistan declares that its air space will remain closed for another five years. #ElectionResults2019,,Deepak J Singh
0.0,Thu May 23 06:59:38 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",#ElectionResults2019 u r a nationalist.. Salute,,Soumya
0.2732,Thu May 23 06:59:38 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @realSonuNigam: Now it is certain that Modi is coming again. India will now be the wave of development again. And maybe some secular gan…,"Pune, India",Sandip Borade (Rajput)
-0.0772,Thu May 23 06:59:38 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @SirJadeja: ""Rahul Gandhi held rallies in 151 constituencies, he's losing 119 of them. He made sure 4 out of every 5 places he visits he…","Hyderabad, India",Chowkidar Rahul Pola
0.0,Thu May 23 06:59:38 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","#ElectionResults2019
Pic 1: What pidi's were expecting.
Pic 2: What happened. https://t.co/oqVuk4XWTv","Allahabad, India",Banter kicks (Akash K. Gupta)
0.8555,Thu May 23 06:59:38 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @Babu_Bhaiyaa: Now when Sunny Deol sahab has won the election, I hope he'll be made Lok shabha speaker. Can't wait to see the moment whe…",Nepal,Pratik Ghimire
0.0,Thu May 23 06:59:38 +0000 2019,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @theskindoctor13: ""Rahul ji, hamne 500 Kg laddu manga liye the josh josh me. Half rate me le lo.""

""Arre hum kya karenge leke? Hamne bhi…",,TheAlert_Doc
0.0,Thu May 23 06:59:39 +0000 2019,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @banter_kicks: #ElectionResults2019
Some rare pic of @narendramodi and @RahulGandhi https://t.co/1wJNCnECbW","Hindu World,Hindu Universe",Chowkidar World Hindus United
0.0762,Thu May 23 06:59:39 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","https://t.co/My9oUfxSdE
""If Dharm is the biggest issue for the Youth, then why not exploit it.""
#VotesUp
#ElectionResults2019","New Delhi, India",Shivangi Singh
0.0,Thu May 23 06:59:39 +0000 2019,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","#ElectionResults2019
#WelcomebackModi
#WelcomebackModi
#WelcomebackModi
#WelcomebackModi
#WelcomebackModi… https://t.co/ZoKr28t21V","Pune, India",Kastoori Kulk
0.5423,Thu May 23 06:59:39 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Pradeep Gupta all emotional on @IndiaToday, breaks down. Good on you man. You got it right. You deserve accolades f… https://t.co/xwvOMq9W3h",Dilli,GD
0.2023,Thu May 23 06:59:39 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @Vishj05: Sadhvi Pragya is winning and India is losing.
#IndiaElections2019 
#ElectionResults2019",,Chacha Baklol
0.0,Thu May 23 06:59:39 +0000 2019,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @Atomic404: Just @ArnabGoswamiRtv thing
#ElectionResults2019 https://t.co/yrRF7Oo2yv",,Rohan
-0.7506,Thu May 23 06:59:39 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",India as a democracy has failed miserably #ElectionResults2019,,Arhat Bhagwatkar
0.8934,Thu May 23 06:59:39 +0000 2019,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Chowkidar @narendramodi is back with full energy - congratulations and I hope India will progress beyond expectatio… https://t.co/RECX9Fr7GX,"Thiruvananthapuram, Kerala, IN",Anand Narayanaswamy
0.0,Thu May 23 06:59:40 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Right now MEDIA people to Rahul Gandhi
#ElectionResults2019 https://t.co/mMZxxThvpX",,oye.vpul
-0.5499,Thu May 23 06:59:40 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Not only EVM's but even TV remotes are also hacked. Whatever button we press it shows only NDA victory.… https://t.co/XOfjB1BASw,,kapil bhargava
0.0,Thu May 23 06:59:40 +0000 2019,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @TheUnRealTimes: Imran Khan: ""Ek naya Pakistan banaunga!""
Modi (2019): ""Mein bhi! :D""
#ElectionResults2019",Worldwide,Geminiseventh
